customer_id,segment,product_type,channel,campaign_id,sent_date,opened,clicked,response_flag,complaint_flag,escalation_flag,engagement_score,sentiment_text,premium_bucket,tenure_months,days_since_last_contact,opt_out_flag,needs_intervention
CUST_251152,Basic,Home,SMS,CAMP_009,2026-04-04,0,0,0,0,0,0.0,negative,Mid,109,147,0,1
CUST_179328,Standard,Auto,Phone,CAMP_005,2026-02-07,0,0,0,0,0,0.0,negative,Low,89,96,0,0
CUST_840772,Basic,Life,Email,CAMP_007,2026-02-13,1,1,0,0,0,0.65,neutral,Low,25,144,0,0
CUST_757672,Standard,Life,Email,CAMP_010,2026-02-10,0,0,1,0,0,0.25,mixed,High,120,36,0,0
CUST_286709,Premium,Home,SMS,CAMP_001,2026-04-05,1,0,0,1,0,0.2,negative,Mid,120,48,0,1
CUST_804481,Basic,Health,Phone,CAMP_002,2026-03-25,1,0,1,0,0,0.6,neutral,Low,5,15,0,0
CUST_012236,Basic,Life,Direct Mail,CAMP_010,2026-04-22,0,0,1,0,0,0.25,mixed,Mid,4,122,0,0
CUST_873227,Basic,Auto,Phone,CAMP_006,2026-04-03,0,0,0,0,0,0.0,negative,Mid,30,132,0,1
CUST_730527,Premium,Health,SMS,CAMP_007,2026-04-18,0,0,0,0,0,0.0,negative,High,96,51,0,0
CUST_538078,Standard,Auto,SMS,CAMP_004,2026-04-07,0,0,0,0,0,0.0,negative,Mid,72,69,0,0
CUST_869599,Standard,Life,SMS,CAMP_009,2026-03-27,1,0,0,0,0,0.35,mixed,Low,62,103,0,0
CUST_032218,Basic,Home,SMS,CAMP_007,2026-03-17,1,0,0,0,0,0.25,mixed,Low,50,136,1,0
CUST_429369,Standard,Life,Email,CAMP_003,2026-02-10,1,1,0,0,0,0.65,neutral,Low,58,54,0,0
CUST_333887,Basic,Health,SMS,CAMP_007,2026-03-24,1,0,0,0,0,0.35,mixed,Mid,77,88,0,0
CUST_829363,Standard,Life,Phone,CAMP_001,2026-03-18,1,0,0,0,0,0.35,mixed,Mid,8,33,0,0
CUST_348798,Standard,Life,SMS,CAMP_003,2026-04-27,0,0,0,0,0,0.0,negative,Mid,71,146,1,0
CUST_523755,Standard,Health,Phone,CAMP_003,2026-04-21,0,0,0,0,0,0.0,negative,Mid,27,158,0,1
CUST_861583,Premium,Life,SMS,CAMP_008,2026-03-01,1,0,1,0,0,0.6,neutral,Low,95,133,0,0
CUST_255438,Basic,Health,Email,CAMP_008,2026-02-15,0,0,1,0,0,0.15,negative,Low,24,147,1,0
CUST_304082,Standard,Home,Email,CAMP_001,2026-02-17,1,0,1,0,0,0.6,neutral,Low,9,138,0,0
CUST_586498,Basic,Auto,Email,CAMP_010,2026-03-14,1,0,0,0,1,0.35,mixed,Mid,53,151,0,1
CUST_455909,Standard,Auto,Email,CAMP_009,2026-04-27,0,0,0,0,0,0.0,negative,Mid,53,77,0,0
CUST_150484,Basic,Life,SMS,CAMP_005,2026-04-17,0,0,0,0,0,0.0,negative,High,63,37,0,1
CUST_185300,Basic,Life,Email,CAMP_003,2026-04-22,0,0,0,0,0,0.0,negative,Low,104,173,0,1
CUST_544172,Basic,Auto,Email,CAMP_005,2026-02-19,1,0,0,0,1,0.35,mixed,Mid,84,0,0,1
CUST_872252,Premium,Auto,Email,CAMP_006,2026-01-29,0,0,1,0,0,0.25,mixed,Low,44,73,0,0
CUST_157996,Standard,Health,Phone,CAMP_007,2026-03-31,0,0,1,0,0,0.25,mixed,Mid,88,131,0,0
CUST_139695,Premium,Life,Phone,CAMP_004,2026-03-06,0,0,1,0,0,0.15,negative,Low,61,143,1,0
CUST_113994,Premium,Health,Email,CAMP_002,2026-03-12,0,0,0,0,0,0.0,negative,Mid,27,124,0,1
CUST_780270,Standard,Auto,Email,CAMP_007,2026-04-05,0,0,0,0,0,0.0,negative,Low,3,88,0,0
CUST_809155,Basic,Auto,Email,CAMP_008,2026-04-29,1,1,0,0,0,0.65,neutral,Low,1,166,0,0
CUST_658104,Basic,Home,Email,CAMP_003,2026-02-14,0,0,1,0,0,0.25,mixed,Mid,27,42,0,0
CUST_553183,Standard,Health,Email,CAMP_007,2026-03-25,1,0,0,0,0,0.35,mixed,Low,99,25,0,0
CUST_652870,Standard,Life,Email,CAMP_006,2026-01-31,0,0,1,0,0,0.25,mixed,Mid,56,113,0,0
CUST_477509,Standard,Health,Email,CAMP_006,2026-03-15,0,0,1,0,0,0.15,negative,Low,55,58,1,0
CUST_481240,Premium,Home,Direct Mail,CAMP_001,2026-02-01,0,0,0,0,0,0.0,negative,High,48,84,0,0
CUST_107087,Premium,Home,SMS,CAMP_004,2026-04-13,1,0,0,0,0,0.35,mixed,Low,31,82,0,0
CUST_681478,Standard,Life,Phone,CAMP_004,2026-03-21,0,0,1,0,0,0.25,mixed,Mid,86,47,0,0
CUST_484649,Standard,Health,Email,CAMP_009,2026-02-21,0,0,0,0,0,0.0,negative,High,2,180,0,1
CUST_266833,Standard,Home,Email,CAMP_009,2026-02-18,0,0,0,0,0,0.0,negative,Mid,74,69,0,0
CUST_064788,Standard,Life,Direct Mail,CAMP_009,2026-03-29,0,0,0,0,0,0.0,negative,Low,113,121,0,1
CUST_694627,Basic,Health,Email,CAMP_005,2026-02-21,0,0,0,0,0,0.0,negative,Mid,106,28,1,1
CUST_800356,Basic,Home,SMS,CAMP_004,2026-03-05,0,0,1,0,0,0.25,mixed,Low,45,179,0,0
CUST_296592,Standard,Health,Direct Mail,CAMP_005,2026-01-30,0,0,0,0,0,0.0,negative,Mid,103,178,0,1
CUST_483677,Basic,Life,SMS,CAMP_008,2026-03-01,1,0,0,0,0,0.35,mixed,Mid,29,12,0,0
CUST_208097,Basic,Health,Email,CAMP_007,2026-04-05,1,1,1,0,0,0.9,positive,Mid,29,116,0,0
CUST_753023,Standard,Home,SMS,CAMP_007,2026-02-03,1,0,0,0,0,0.35,mixed,High,42,107,0,0
CUST_566736,Standard,Life,Email,CAMP_005,2026-04-15,0,0,0,0,0,0.0,negative,Low,3,31,0,1
CUST_544682,Standard,Home,Email,CAMP_007,2026-02-22,1,0,1,0,0,0.6,neutral,Low,32,139,0,0
CUST_168053,Premium,Life,Email,CAMP_009,2026-04-05,1,1,0,0,0,0.65,neutral,Low,103,138,0,0
CUST_976825,Premium,Home,Phone,CAMP_007,2026-02-10,1,0,0,0,0,0.35,mixed,Mid,92,152,0,1
CUST_758159,Premium,Life,SMS,CAMP_005,2026-02-10,0,0,0,0,0,0.0,negative,Low,40,108,0,0
CUST_004037,Basic,Health,Email,CAMP_009,2026-04-18,0,0,0,0,0,0.0,negative,Mid,38,128,0,1
CUST_966271,Standard,Home,Email,CAMP_010,2026-04-26,0,0,0,0,0,0.0,negative,Mid,42,130,0,1
CUST_705488,Basic,Home,SMS,CAMP_008,2026-02-22,1,0,0,0,0,0.35,mixed,High,15,138,0,1
CUST_142349,Basic,Home,Direct Mail,CAMP_009,2026-04-26,1,0,0,0,0,0.35,mixed,Mid,20,105,0,0
CUST_532415,Standard,Life,Email,CAMP_003,2026-04-13,0,0,1,0,0,0.25,mixed,Low,120,134,0,0
CUST_309602,Standard,Life,Email,CAMP_005,2026-02-21,1,0,0,0,0,0.35,mixed,Low,84,10,0,0
CUST_891596,Premium,Life,Phone,CAMP_003,2026-04-12,1,0,0,0,0,0.35,mixed,Mid,82,111,0,0
CUST_833589,Premium,Auto,Phone,CAMP_004,2026-04-28,1,0,0,0,0,0.35,mixed,Low,34,36,0,0
CUST_291197,Standard,Auto,Direct Mail,CAMP_008,2026-02-25,1,0,0,0,0,0.35,mixed,Low,103,73,0,0
CUST_720338,Standard,Auto,Email,CAMP_007,2026-03-10,1,1,0,0,0,0.65,neutral,Low,22,139,0,0
CUST_128162,Standard,Health,Email,CAMP_001,2026-02-24,0,0,0,0,0,0.0,negative,Mid,117,20,0,1
CUST_046483,Basic,Health,Email,CAMP_008,2026-02-01,0,0,1,0,0,0.25,mixed,High,61,136,0,0
CUST_233581,Standard,Auto,Email,CAMP_002,2026-04-24,1,0,1,0,0,0.6,neutral,Low,40,46,0,0
CUST_436210,Standard,Auto,Phone,CAMP_002,2026-03-22,1,0,0,0,1,0.35,mixed,Low,91,136,0,1
CUST_290941,Standard,Health,Email,CAMP_006,2026-02-14,0,0,0,0,0,0.0,negative,Mid,51,138,0,1
CUST_795076,Standard,Life,SMS,CAMP_003,2026-03-17,1,1,0,0,0,0.65,neutral,Low,33,2,0,0
CUST_199445,Premium,Home,Direct Mail,CAMP_010,2026-04-10,1,0,0,0,0,0.35,mixed,High,83,42,0,0
CUST_262980,Standard,Life,Direct Mail,CAMP_002,2026-04-17,0,0,0,0,0,0.0,negative,Mid,87,145,0,1
CUST_237473,Standard,Auto,SMS,CAMP_002,2026-04-09,1,0,1,0,0,0.6,neutral,Mid,73,61,0,0
CUST_832727,Standard,Auto,Direct Mail,CAMP_008,2026-03-02,0,0,1,0,0,0.25,mixed,High,56,79,0,0
CUST_557126,Basic,Home,Email,CAMP_003,2026-04-23,0,0,0,0,0,0.0,negative,Mid,40,2,0,1
CUST_082009,Standard,Health,Email,CAMP_008,2026-04-08,0,0,0,0,0,0.0,negative,Low,49,125,0,1
CUST_348128,Premium,Health,Email,CAMP_007,2026-03-10,0,0,0,0,0,0.0,negative,Mid,105,16,0,1
CUST_710594,Standard,Auto,Direct Mail,CAMP_002,2026-04-10,0,0,0,0,0,0.0,negative,Mid,44,49,1,0
CUST_433363,Standard,Life,Direct Mail,CAMP_006,2026-04-29,0,0,0,0,0,0.0,negative,Mid,117,86,0,0
CUST_553277,Standard,Health,Email,CAMP_006,2026-02-01,0,0,0,0,0,0.0,negative,High,18,139,0,1
CUST_676321,Standard,Health,Email,CAMP_001,2026-03-25,1,0,0,0,0,0.35,mixed,Low,20,90,0,0
CUST_375216,Basic,Health,Email,CAMP_008,2026-03-31,0,0,0,0,0,0.0,negative,Mid,40,177,0,1
CUST_399636,Standard,Auto,Email,CAMP_009,2026-04-18,0,0,1,0,0,0.25,mixed,Low,1,94,0,0
CUST_636231,Standard,Auto,Phone,CAMP_010,2026-03-13,1,0,0,0,0,0.35,mixed,Low,106,45,0,0
